epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19697,1.21102,5.86216,2.94742,1.45059,0,0.0025,1,0.02689,0.01564,0.0025,1,0.02689,0.0114,1.19332,2.64361,3.80199,1.32593,0,4e-05,4e-05,4e-05
2,8.99877,1.27415,4.16391,3.21901,1.71759,0,0.0025,1,0.38851,0.09353,0.0025,1,0.38851,0.10822,0.75912,1.66268,3.6627,1.04018,0,9.901e-05,9.901e-05,9.901e-05
3,12.8796,0.93823,2.97497,2.57994,1.22552,0,0.0025,1,0.56708,0.33714,0.0025,1,0.78875,0.33508,0.65391,1.56363,3.65981,0.94629,0,0.000156832,0.000156832,0.000156832
4,16.993,0.90818,2.69973,2.74327,1.16368,0,0.0025,1,0.80643,0.52143,0.0025,1,0.80643,0.52382,0.53522,1.49568,3.5323,0.86903,0,0.000213466,0.000213466,0.000213466
5,20.8551,0.97245,2.47435,2.49007,1.29413,0,0.0025,1,0.83,0.54399,0.0025,1,0.83,0.60875,0.43615,1.7005,3.4908,0.79899,0,0.000268912,0.000268912,0.000268912
6,24.5989,0.80723,1.31101,2.30267,1.11126,0,0.0025,1,0.83,0.60675,0.0025,1,0.83,0.60675,0.47185,1.02719,3.41288,0.76228,0,0.00032317,0.00032317,0.00032317
7,28.1383,0.9056,1.27182,1.84924,1.18841,0,0.0025,1,0.665,0.5435,0.0025,1,0.665,0.54389,0.5004,0.33683,3.3707,0.74792,0,0.00037624,0.00037624,0.00037624
8,31.6127,0.80578,0.86318,1.62177,1.05374,0,0.00616,1,0.753,0.6381,0.00616,1,0.753,0.69499,0.51257,0.24386,3.13606,0.80973,0,0.000428122,0.000428122,0.000428122
9,35.3006,0.65728,1.65038,2.13423,0.99234,0,0.00616,1,0.753,0.6381,0.00616,1,0.753,0.69499,0.51257,0.24386,3.13606,0.80973,0,0.000478816,0.000478816,0.000478816
10,39.1558,0.88355,1.04259,1.7047,1.10034,0,0.44504,1,0.597,0.544,0.44504,1,0.597,0.5639,0.50086,0.25455,3.05821,0.72663,0,0.000528322,0.000528322,0.000528322
11,43.0854,1.13101,2.26674,1.80349,1.29679,0,0.44504,1,0.597,0.544,0.44504,1,0.597,0.5639,0.50086,0.25455,3.05821,0.72663,0,0.00057664,0.00057664,0.00057664
12,46.9088,0.96797,1.04661,2.23103,1.26515,0,0.47831,0.66667,0.4975,0.44775,0.47831,0.66667,0.4975,0.481,0.49637,0.36824,3.04911,0.74042,0,0.00062377,0.00062377,0.00062377
13,51.041,0.72137,1.01619,1.24806,0.98599,0,0.47831,0.66667,0.4975,0.44775,0.47831,0.66667,0.4975,0.481,0.49637,0.36824,3.04911,0.74042,0,0.000669712,0.000669712,0.000669712
14,55.061,0.76239,0.96803,1.69941,1.1281,0,0.64235,0.61803,0.67875,0.6265,0.64235,0.61803,0.67875,0.61825,0.53686,0.29614,2.81488,0.73559,0,0.000714466,0.000714466,0.000714466
15,58.7302,0.67127,0.89034,1.41777,1.11165,0,0.64235,0.61803,0.67875,0.6265,0.64235,0.61803,0.67875,0.61825,0.53686,0.29614,2.81488,0.73559,0,0.000758032,0.000758032,0.000758032
16,62.5237,0.77715,0.8163,1.25627,1.06154,0,0.64235,0.61803,0.67875,0.6265,0.64235,0.61803,0.67875,0.61825,0.53686,0.29614,2.81488,0.73559,0,0.00080041,0.00080041,0.00080041
17,66.2563,0.87626,1.14421,1.07133,0.97331,0,1,0.66609,0.83,0.747,1,0.66609,0.83,0.77475,0.56024,0.25974,2.44106,0.78739,0,0.0008416,0.0008416,0.0008416
18,69.9714,0.70485,0.8004,1.31317,1.06645,0,1,0.66609,0.83,0.747,1,0.66609,0.83,0.77475,0.56024,0.25974,2.44106,0.78739,0,0.000881602,0.000881602,0.000881602
19,73.5999,0.77747,0.67195,1.14086,1.08169,0,1,0.66609,0.83,0.747,1,0.66609,0.83,0.77475,0.56024,0.25974,2.44106,0.78739,0,0.000920416,0.000920416,0.000920416
